Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Thompson,RM,Man.,"1,518","1,422",6.8,531.24,2.9
Winkler 4,CY,Man.,"13,745","12,660",8.6,20.73,663.1
Argyle,RM,Man.,994,"1,025",-3,768.63,1.3
Cartwright-Roblin,MU,Man.,"1,336","1,308",2.1,705.27,1.9
Lorne,MU,Man.,"2,904","3,041",-4.5,923.03,3.1
Louise,MU,Man.,"2,025","1,918",5.6,934.81,2.2
Pembina,MU,Man.,"2,406","2,347",2.5,"1,130.57",2.1
Swan Lake 7 5,IRI,Man.,..,347,..,26.93,..
Boissevain-Morton,MU,Man.,"2,309","2,353",-1.9,"1,102.38",2.1
Brenda-Waskada,MU,Man.,650,674,-3.6,775.64,0.8
Deloraine-Winchester,MU,Man.,"1,478","1,489",-0.7,728.13,2
Grassland,MU,Man.,"1,583","1,561",1.4,"1,350.34",1.2
Killarney - Turtle Mountain,RM,Man.,"3,520","3,429",2.7,930.02,3.8
Melita,T,Man.,"1,041","1,042",-0.1,3.19,326.4
Prairie Lakes,RM,Man.,"1,625","1,453",11.8,"1,070.95",1.5
Two Borders,MU,Man.,"1,120","1,175",-4.7,"2,321.73",0.5
Canupawakpa Dakota First Nation (Oak Lake 59),IRI,Man.,322,305,5.6,10.46,30.8
Pipestone,RM,Man.,"1,422","1,458",-2.5,"1,149.86",1.2
Sifton,RM,Man.,"1,239","1,256",-1.4,839.5,1.5
Sioux Valley Dakota Nation,IRI,Man.,"1,057","1,028",2.8,37.94,27.9
Virden,T,Man.,"3,118","3,322",-6.1,8.96,347.8
Wallace-Woodworth,RM,Man.,"2,748","2,948",-6.8,"1,977.43",1.4
Brandon 3,CY,Man.,"51,313","48,883",5,79.04,649.2
Carberry,T,Man.,"1,818","1,738",4.6,4.8,379.1
Cornwallis 3,RM,Man.,"4,568","4,506",1.4,500.51,9.1
Elton 3,RM,Man.,"1,276","1,273",0.2,576.14,2.2
Glenboro-South Cypress 3,MU,Man.,"1,123","1,550",-27.5,"1,071.64",1
North Cypress-Langford,MU,Man.,"3,011","2,745",9.7,"1,762.30",1.7
Oakland-Wawanesa,MU,Man.,"1,758","1,690",4,578.82,3
Riverdale,MU,Man.,"1,803","2,133",-15.5,576.02,3.1
Souris-Glenwood,MU,Man.,"2,547","2,562",-0.6,579.69,4.4
Swan Lake 7A 3,IRI,Man.,0,15,-100,26.62,0
Waywayseecappo Highway 10 3,IRI,Man.,0,0,...,0.04,0
Whitehead 3,RM,Man.,"1,679","1,651",1.7,577.6,2.9
Glenella-Lansdowne,MU,Man.,"1,133","1,181",-4.1,"1,274.74",0.9
Norfolk-Treherne,MU,Man.,"1,770","1,751",1.1,737.9,2.4
North Norfolk,MU,Man.,"3,915","3,853",1.6,"1,158.26",3.4
Sandy Bay 5,IRI,Man.,"2,598","2,515",3.3,59.6,43.6
Victoria 2,RM,Man.,"1,188","1,132",4.9,703.54,1.7
WestLake-Gladstone,MU,Man.,"3,273","3,154",3.8,"1,909.82",1.7
Dakota Plains 6A,IRI,Man.,98,76,28.9,5.49,17.9
Dakota Tipi 1,IRI,Man.,226,156,44.9,0.37,604
Grey,RM,Man.,"2,517","2,648",-4.9,968.9,2.6
Long Plain 3,IRI,Man.,5,0,...,1.16,4.3
Long Plain 6 3,IRI,Man.,"1,335","1,232",8.4,35.09,38
Portage la Prairie 3,RM,Man.,"6,888","6,975",-1.2,"1,973.45",3.5
Portage la Prairie,CY,Man.,"13,270","13,304",-0.3,24.72,536.8
Cartier,RM,Man.,"3,344","3,368",-0.7,552.94,6
Macdonald,RM,Man.,"8,120","7,162",13.4,"1,156.11",7
St. François Xavier,RM,Man.,"1,449","1,411",2.7,205.14,7.1
Headingley,RM,Man.,"4,331","3,579",21,107.53,40.3
Winnipeg,CY,Man.,"749,607","705,244",6.3,461.78,"1,623.30"
Beausejour,T,Man.,"3,307","3,219",2.7,5.42,609.6
Brokenhead,RM,Man.,"5,414","5,122",5.7,749.69,7.2
Springfield,RM,Man.,"16,142","15,342",5.2,"1,096.17",14.7
Brokenhead 4,IRI,Man.,434,516,-15.9,54.95,7.9
Dunnottar,VL,Man.,989,763,29.6,2.8,353.8
East St. Paul,RM,Man.,"9,725","9,372",3.8,41.79,232.7
Selkirk,CY,Man.,"10,504","10,278",2.2,24.47,429.3
St. Andrews,RM,Man.,"11,723","11,913",-1.6,739.61,15.9
St. Clements,RM,Man.,"11,586","10,876",6.5,711.17,16.3
West St. Paul,RM,Man.,"6,682","5,368",24.5,87.49,76.4
Rockwood,RM,Man.,"8,440","7,823",7.9,"1,184.89",7.1
Rosser,RM,Man.,"1,270","1,372",-7.4,441.74,2.9
Stonewall,T,Man.,"5,046","4,809",4.9,5.96,846.4
Teulon,T,Man.,"1,196","1,201",-0.4,3.23,370.3
Woodlands,RM,Man.,"3,797","3,416",11.2,"1,197.59",3.2
Birdtail Creek 57,IRI,Man.,452,411,10,27.88,16.2
Clanwilliam-Erickson 3,MU,Man.,"1,012",860,17.7,358.05,2.8
Ellice-Archie,RM,Man.,831,887,-6.3,"1,153.14",0.7
Gambler 63 (Part),IRI,Man.,15,5,200,2.53,5.9
Hamiota,MU,Man.,"1,234","1,225",0.7,577.68,2.1
Harrison Park 3,MU,Man.,"1,852","1,617",14.5,964.55,1.9
Keeseekoowenin 61,IRI,Man.,472,386,22.3,21.42,22
Minnedosa,T,Man.,"2,741","2,449",11.9,14.95,183.4
Minto-Odanah,MU,Man.,"1,121","1,189",-5.7,746.31,1.5
Neepawa,T,Man.,"5,685","4,609",23.3,17.09,332.7
Oakview,RM,Man.,"1,928","1,626",18.6,"1,141.98",1.7
Prairie View,MU,Man.,"2,161","2,088",3.5,"1,694.69",1.3
Rolling River 67 3,IRI,Man.,379,361,5,63.07,6
Rolling River 67B,IRI,Man.,56,46,21.7,3.32,16.9
Rosedale,RM,Man.,"1,524","1,672",-8.9,864.68,1.8
Yellowhead,RM,Man.,"1,841","1,948",-5.5,"1,093.17",1.7
Gambler 63 (Part),IRI,Man.,76,78,-2.6,2.05,37
Hillsburg-Roblin-Shell River,MU,Man.,"3,089","3,214",-3.9,"1,694.95",1.8
Riding Mountain West,RM,Man.,"1,442","1,420",1.5,"1,624.99",0.9
Rossburn,MU,Man.,973,976,-0.3,672.29,1.4
Russell-Binscarth,MU,Man.,"2,596","2,442",6.3,569.7,4.6
Valley River 63A,IRI,Man.,360,353,2,46.2,7.8
Waywayseecappo First Nation,IRI,Man.,"1,409","1,365",3.2,96.64,14.6
Alonsa,RM,Man.,"1,210","1,247",-3,"3,006.17",0.4
Dauphin 2,RM,Man.,"2,136","2,298",-7,"1,512.79",1.4
Dauphin 2,CY,Man.,"8,368","8,369",0,12.67,660.5
"Division No. 17, Unorganized",NO,Man.,212,101,109.9,"2,147.09",0.1
Ebb and Flow 52,IRI,Man.,"1,608","1,341",19.9,45.69,35.2
Ethelbert,MU,Man.,648,607,6.8,"1,134.59",0.6
Gilbert Plains,MU,Man.,"1,420","1,470",-3.4,"1,050.15",1.4
Grandview,MU,Man.,"1,419","1,482",-4.3,"1,147.99",1.2
Lakeshore,RM,Man.,"1,186","1,363",-13,"1,295.64",0.9
McCreary,MU,Man.,748,892,-16.1,527.77,1.4
Mossey River,RM,Man.,"1,450","1,145",26.6,"1,119.96",1.3
Ste. Rose,MU,Man.,"1,591","1,712",-7.1,630.04,2.5
Arborg,T,Man.,"1,279","1,232",3.8,2.22,576.6
Armstrong,RM,Man.,"1,967","1,792",9.8,"1,868.24",1.1
Bifrost-Riverton,MU,Man.,"3,320","3,378",-1.7,"1,643.14",2
Coldwell,RM,Man.,"1,313","1,254",4.7,891.85,1.5
"Division No. 18, Unorganized, East Part",NO,Man.,229,156,46.8,478.47,0.5
"Division No. 18, Unorganized, West Part",NO,Man.,0,0,...,15.27,0
Dog Creek 46,IRI,Man.,899,874,2.9,54.48,16.5
Fairford 50,IRI,Man.,"1,144","1,169",-2.1,77.08,14.8
Fisher 2,RM,Man.,"1,845","1,827",1,"1,486.17",1.2
Gimli,RM,Man.,"6,569","6,181",6.3,318.1,20.7
Grahamdale 3,RM,Man.,"1,278","1,334",-4.2,"2,365.94",0.5
Little Saskatchewan 48 3,IRI,Man.,627,313,100.3,29.12,21.5
Obushkudayang 3,IRI,Man.,957,0,...,4.58,208.9
St. Laurent,RM,Man.,"1,542","1,338",15.2,480.15,3.2
West Interlake,MU,Man.,"2,228","2,162",3.1,"1,643.72",1.4
Winnipeg Beach,T,Man.,"1,439","1,145",25.7,3.91,367.7
Berens River 13 2,IRI,Man.,"1,161","1,039",11.7,26.15,44.4
Black River 9,IRI,Man.,498,698,-28.7,9.23,53.9
Bloodvein 12,IRI,Man.,640,687,-6.8,15.73,40.7
Chemawawin 3,IRI,Man.,27,15,80,47.98,0.6
Crane River 51,IRI,Man.,438,444,-1.4,35.97,12.2
Dauphin River 48A,IRI,Man.,213,0,...,3.4,62.6
"Division No. 19, Unorganized 2",NO,Man.,"2,839","2,900",-2.1,"59,723.04",0
Fisher River 44,IRI,Man.,"1,449","1,473",-1.6,55.17,26.3
Fisher River 44A,IRI,Man.,44,58,-24.1,7.59,5.8
Fort Alexander 3,IRI,Man.,"2,127","1,929",10.3,87.95,24.2
Hole or Hollow Water 10,IRI,Man.,530,582,-8.9,16.39,32.3
Jackhead 43,IRI,Man.,267,207,29,12.11,22.1
Little Grand Rapids 14 5,IRI,Man.,..,810,..,22.6,..
Pauingassi First Nation 2 5,IRI,Man.,..,307,..,2.56,..
Peguis 1B,IRI,Man.,"3,053","2,704",12.9,310.31,9.8
Pine Creek 66A 2,IRI,Man.,700,631,10.9,77.9,9
Poplar River 16 5,IRI,Man.,..,866,..,18.05,..
Shoal River 65B 3,IRI,Man.,95,0,...,9.25,10.3
Shoal River Indian Reserve 65A,IRI,Man.,759,810,-6.3,3.75,202.6
Swan Lake 65C,IRI,Man.,10,23,-56.5,7.69,1.3
The Narrows 49,IRI,Man.,55,5,"1,000.00",24.09,2.3
Waterhen 45,IRI,Man.,476,373,27.6,19.54,24.4
"Division No. 20, Unorganized, North Part 3",NO,Man.,25,25,0,"1,744.71",0
"Division No. 20, Unorganized, South Part",NO,Man.,95,82,15.9,"2,553.98",0
Minitonas-Bowsman,MU,Man.,"1,587","1,653",-4,"1,199.17",1.3
Mountain (North),RM,Man.,537,559,-3.9,988.01,0.5
Mountain (South),RM,Man.,443,419,5.7,"1,615.42",0.3
Swan River,T,Man.,"4,049","4,014",0.9,6.81,595
Swan Valley West,MU,Man.,"2,759","2,829",-2.5,"1,716.84",1.6
Wuskwi Sipihk First Nation 2 3,IRI,Man.,139,40,247.5,0.84,165.3
Chemawawin 2,IRI,Man.,"1,264","1,252",1,2.51,503.4
"Division No. 21, Unorganized 2",NO,Man.,"1,712","1,857",-7.8,"40,578.97",0
Flin Flon (Part) 2,CY,Man.,"4,940","4,991",-1,13.14,376.1
Grand Rapids,T,Man.,213,268,-20.5,74.27,2.9
Grand Rapids 33,IRI,Man.,947,868,9.1,18.91,50.1
Kelsey 3,RM,Man.,"2,181","2,419",-9.8,850.41,2.6
Moose Lake 31A,IRI,Man.,837,"1,124",-25.5,3.87,216.5
Moose Lake 31D 3,IRI,Man.,155,0,...,0.45,341.3
Moose Lake 31G 3,IRI,Man.,0,0,...,10.9,0
Opaskwayak Cree Nation 21A,IRI,Man.,243,210,15.7,5.72,42.5
Opaskwayak Cree Nation 21B,IRI,Man.,278,39,612.8,0.98,284.9
Opaskwayak Cree Nation 21C,IRI,Man.,40,18,122.2,1.26,31.8
Opaskwayak Cree Nation 21D 3,IRI,Man.,0,0,...,0.73,0
Opaskwayak Cree Nation 21E,IRI,Man.,"2,210","2,473",-10.6,24.73,89.4
Opaskwayak Cree Nation 21I,IRI,Man.,119,294,-59.5,1.83,65
Opaskwayak Cree Nation 21N 3,IRI,Man.,5,5,0,1.18,4.2
Snow Lake,T,Man.,"1,088",899,21,"1,166.64",0.9
The Pas,T,Man.,"5,639","5,369",5,44.69,126.2
Cross Lake 19,IRI,Man.,"1,865","1,607",16.1,23.18,80.5
Cross Lake 19A,IRI,Man.,"2,045","1,922",6.4,6.05,338.1
Cross Lake 19E 3,IRI,Man.,763,846,-9.8,7.32,104.2
"Division No. 22, Unorganized 2",NO,Man.,"2,162","2,700",-19.9,"85,723.96",0
Garden Hill First Nation 2,IRI,Man.,"3,054","2,603",17.3,83.05,36.8
God's Lake 23 2,IRI,Man.,"1,520","1,211",25.5,36.66,41.5
God's River 86A 3,IRI,Man.,809,628,28.8,2.35,344.2
Ilford 2,S-É,Man.,62,31,100,14.09,4.4
Mooseocoot 2,IRI,Man.,60,70,-14.3,0.06,925.9
Mooseocoot 4 3,IRI,Man.,0,5,-100,0.05,0
Mystery Lake,LGD,Man.,0,0,...,"3,351.37",0
Nelson House 170 3,IRI,Man.,"2,397","2,500",-4.1,17.25,138.9
Norway House 17 3,IRI,Man.,"5,390","4,807",12.1,82.12,65.6
Oxford House 24 3 5,IRI,Man.,..,"1,955",..,49.32,..
Red Sucker Lake 1976 2,IRI,Man.,725,757,-4.2,2.34,309.2
Red Sucker Lake 1976A 3,IRI,Man.,147,112,31.3,17.64,8.3
Split Lake 171,IRI,Man.,"2,232","2,044",9.2,130.23,17.1
St. Theresa Point,IRI,Man.,"3,417","3,262",4.8,147.93,23.1
Thompson,CY,Man.,"13,035","13,678",-4.7,16.62,784.3
Wasagamack,IRI,Man.,"2,088","1,403",48.8,77.9,26.8
York Landing,IRI,Man.,455,443,2.7,13.32,34.2
A Kwis Ki Mahka 3,IRI,Man.,58,64,-9.4,0.02,"2,566.40"
Black Sturgeon,IRI,Man.,149,0,...,23.84,6.3
Brochet 197 2 5,IRI,Man.,..,506,..,37.08,..
Churchill,T,Man.,870,899,-3.2,50.83,17.1
Churchill 1 5,IRI,Man.,..,324,..,2.09,..
"Division No. 23, Unorganized 2",NO,Man.,74,283,-73.9,"229,309.25",0
Fox Lake 2,IRI,Man.,126,156,-19.2,0.41,307.8
Gillam 3,T,Man.,"1,007","1,201",-16.2,"1,994.44",0.5
Granville Lake 5,S-É,Man.,..,10,..,2.54,..
Lac Brochet 197A,IRI,Man.,641,728,-12,4.49,142.9
Leaf Rapids,T,Man.,351,582,-39.7,"1,237.66",0.3
Lynn Lake,T,Man.,579,494,17.2,867.53,0.7
O-Pipon-Na-Piwin Cree Nation 1 3,IRI,Man.,257,40,542.5,0.02,"15,207.10"
Pukatawagan 198 2 5,IRI,Man.,..,"1,844",..,15.51,..
Shamattawa 1 5,IRI,Man.,..,"1,019",..,22.4,..
South Indian Lake 3,S-É,Man.,578,941,-38.6,10.54,54.8
Alameda,T,Sask.,345,369,-6.5,2.53,136.6
Alida,VL,Sask.,103,120,-14.2,0.38,272
Antler No. 61,RM,Sask.,451,523,-13.8,804.28,0.6
Arcola,T,Sask.,636,657,-3.2,3.46,183.8
Argyle No. 1,RM,Sask.,331,290,14.1,567.05,0.6
Benson No. 35,RM,Sask.,450,472,-4.7,808.53,0.6
Bienfait,T,Sask.,668,762,-12.3,3.05,218.7
Brock No. 64,RM,Sask.,252,267,-5.6,784.64,0.3
Browning No. 34,RM,Sask.,355,375,-5.3,797,0.4
Carievale,VL,Sask.,85,240,-64.6,1.51,56.1
Carlyle,T,Sask.,"1,524","1,508",1.1,5.41,281.9
Carnduff,T,Sask.,"1,150","1,099",4.6,2.61,441
Coalfields No. 4,RM,Sask.,330,368,-10.3,818.16,0.4
Enniskillen No. 3,RM,Sask.,422,459,-8.1,820.04,0.5
Estevan,CY,Sask.,"10,851","11,483",-5.5,18.3,592.9
Estevan No. 5,RM,Sask.,"1,279","1,370",-6.6,772,1.7
Fairlight,VL,Sask.,25,40,-37.5,2.58,9.7
Forget,VL,Sask.,35,55,-36.4,1.37,25.5
Frobisher,VL,Sask.,127,160,-20.6,1.43,89.1
Gainsborough,VL,Sask.,227,254,-10.6,0.94,241.7
Glen Ewen,VL,Sask.,159,154,3.2,2.59,61.4
Golden West No. 95,RM,Sask.,289,291,-0.7,781.59,0.4
Hazelwood No. 94,RM,Sask.,244,230,6.1,714.41,0.3
Heward,VL,Sask.,30,44,-31.8,0.92,32.4
Kennedy,VL,Sask.,232,216,7.4,1.57,147.6
Kenosee Lake 3,VL,Sask.,236,234,0.9,0.4,593.1
Kisbey,VL,Sask.,158,153,3.3,2.69,58.7
Lampman,T,Sask.,673,675,-0.3,2.13,316.7
Manor,VL,Sask.,305,295,3.4,2.58,118.3
Maryfield,VL,Sask.,311,348,-10.6,2.57,121.2
Maryfield No. 91,RM,Sask.,258,324,-20.4,748.67,0.3
Moose Creek No. 33,RM,Sask.,306,379,-19.3,828.74,0.4
Moose Mountain No. 63,RM,Sask.,489,492,-0.6,718.23,0.7
Mount Pleasant No. 2,RM,Sask.,419,414,1.2,772.71,0.5
North Portal,VL,Sask.,113,115,-1.7,2.65,42.7
Ocean Man 69,IRI,Sask.,164,185,-11.4,18.78,8.7
Ocean Man 69A,IRI,Sask.,5,0,...,2.62,1.9
Ocean Man 69C,IRI,Sask.,15,0,...,3.56,4.2
Ocean Man 69D,IRI,Sask.,0,5,-100,1.74,0
Ocean Man 69E,IRI,Sask.,10,0,...,3.86,2.6
Ocean Man 69F,IRI,Sask.,5,0,...,2.06,2.4
Ocean Man 69G,IRI,Sask.,0,0,...,0.61,0
Ocean Man 69H,IRI,Sask.,5,5,0,6.15,0.8
Ocean Man 69I,IRI,Sask.,5,5,0,1.62,3.1
Oxbow,T,Sask.,"1,286","1,328",-3.2,3.33,386.6
Pheasant Rump Nakota 68,IRI,Sask.,72,56,28.6,74.99,1
Reciprocity No. 32,RM,Sask.,351,344,2,707.95,0.5
Redvers,T,Sask.,"1,008","1,042",-3.3,2.9,348.2
Roche Percée,VL,Sask.,75,110,-31.8,2.87,26.1
Storthoaks,VL,Sask.,86,108,-20.4,0.45,192.3
Storthoaks No. 31,RM,Sask.,306,292,4.8,551.21,0.6
Stoughton,T,Sask.,652,649,0.5,3.45,189
Tecumseh No. 65,RM,Sask.,255,271,-5.9,798.92,0.3
Walpole No. 92,RM,Sask.,292,326,-10.4,832.36,0.4
Wawken No. 93 3,RM,Sask.,614,571,7.5,743.5,0.8
Wawota,T,Sask.,555,543,2.2,1.28,435.1
White Bear 70,IRI,Sask.,722,691,4.5,92.45,7.8
Avonlea,VL,Sask.,411,393,4.6,1.3,315.3
Bengough,T,Sask.,332,332,0,1.12,295.7
Bengough No. 40,RM,Sask.,305,281,8.5,"1,008.64",0.3
Brokenshell No. 68,RM,Sask.,307,312,-1.6,845.97,0.4
Caledonia No. 99,RM,Sask.,225,245,-8.2,846.76,0.3
Cambria No. 6,RM,Sask.,277,309,-10.4,813.31,0.3
Ceylon,VL,Sask.,97,111,-12.6,0.76,127.2
Creelman,VL,Sask.,103,113,-8.8,1.35,76.5
Cymri No. 36,RM,Sask.,568,549,3.5,816.38,0.7
Elmsthorpe No. 100,RM,Sask.,195,226,-13.7,824.15,0.2
Fillmore,VL,Sask.,282,311,-9.3,1.32,212.8
Fillmore No. 96,RM,Sask.,224,223,0.4,815.57,0.3
Goodwater,VL,Sask.,40,30,33.3,0.56,71.1
Griffin No. 66,RM,Sask.,430,438,-1.8,801.27,0.5
Halbrite,VL,Sask.,110,119,-7.6,1.1,100
Happy Valley No. 10,RM,Sask.,125,139,-10.1,806.93,0.2
Key West No. 70,RM,Sask.,251,255,-1.6,786.65,0.3
Lake Alma No. 8 3,RM,Sask.,269,272,-1.1,785.5,0.3
Lang,VL,Sask.,176,189,-6.9,0.65,272.1
Laurier No. 38,RM,Sask.,253,296,-14.5,816.25,0.3
Lomond No. 37,RM,Sask.,275,296,-7.1,825.6,0.3
Macoun,VL,Sask.,272,269,1.1,1.7,160.4
McTaggart,VL,Sask.,125,121,3.3,0.75,166.9
Midale,T,Sask.,510,604,-15.6,1.62,315.3
Milestone,T,Sask.,682,699,-2.4,2.12,321.7
Minton,VL,Sask.,50,55,-9.1,0.25,200.7
Norton No. 69,RM,Sask.,233,233,0,808.81,0.3
Ogema,T,Sask.,383,403,-5,1.33,287.3
Osage,VL,Sask.,25,20,25,0.62,40.5
Pangman,VL,Sask.,238,232,2.6,0.73,324.9
Radville,T,Sask.,778,807,-3.6,2.95,263.7
Scott No. 98,RM,Sask.,215,195,10.3,846.58,0.3
Souris Valley No. 7,RM,Sask.,220,249,-11.6,804.48,0.3
Surprise Valley No. 9,RM,Sask.,211,217,-2.8,802.64,0.3
The Gap No. 39,RM,Sask.,181,199,-9,795.76,0.2
Torquay,VL,Sask.,215,255,-15.7,1.35,159.4
Tribune,VL,Sask.,25,45,-44.4,1.69,14.8
Wellington No. 97,RM,Sask.,274,371,-26.1,831.16,0.3
Weyburn,CY,Sask.,"11,019","10,870",1.4,19.03,579.1
Weyburn No. 67,RM,Sask.,"1,103","1,064",3.7,808.5,1.4
Yellow Grass,T,Sask.,483,478,1,2.67,181.1
Assiniboia 2,T,Sask.,"2,333","2,424",-3.8,3.68,633.6
Auvergne No. 76,RM,Sask.,381,412,-7.5,846.86,0.4
Coronach,T,Sask.,612,643,-4.8,2.34,261.7
Excel No. 71,RM,Sask.,411,391,5.1,"1,093.31",0.4
Glen Bain No. 105,RM,Sask.,195,180,8.3,827.17,0.2
Glen McPherson No. 46,RM,Sask.,76,72,5.6,845.13,0.1
Gravelbourg,T,Sask.,986,"1,083",-9,3.21,307.1
Gravelbourg No. 104 2,RM,Sask.,317,372,-14.8,824.45,0.4
Hart Butte No. 11,RM,Sask.,263,252,4.4,839.22,0.3
Hazenmore 3,VL,Sask.,75,65,15.4,0.68,109.6
Kincaid,VL,Sask.,120,111,8.1,0.54,223.9
Lafleche,T,Sask.,373,382,-2.4,1.43,261.5
Lake Johnston No. 102,RM,Sask.,140,170,-17.6,555.8,0.3
Lake of the Rivers No. 72,RM,Sask.,252,279,-9.7,665.26,0.4
Limerick,VL,Sask.,114,115,-0.9,0.61,186.9
Mankota,VL,Sask.,198,205,-3.4,1.5,132.2
Mankota No. 45,RM,Sask.,289,292,-1,"1,693.17",0.2
Mossbank,T,Sask.,368,360,2.2,1.56,236.5
Neville,VL,Sask.,88,87,1.1,0.96,91.8
Old Post No. 43,RM,Sask.,352,377,-6.6,"1,757.50",0.2
Pinto Creek No. 75 3,RM,Sask.,251,288,-12.8,838.82,0.3
Ponteix,T,Sask.,577,563,2.5,1.19,485.2
Poplar Valley No. 12,RM,Sask.,190,195,-2.6,765.28,0.2
Rockglen,T,Sask.,399,441,-9.5,2.65,150.6
Stonehenge No. 73 2,RM,Sask.,385,380,1.3,956.43,0.4
Sutton No. 103,RM,Sask.,230,240,-4.2,792.29,0.3
Terrell No. 101,RM,Sask.,210,241,-12.9,837.04,0.3
Vanguard,VL,Sask.,184,134,37.3,1.86,98.8
Waverley No. 44,RM,Sask.,295,336,-12.2,"1,425.78",0.2
Whiska Creek No. 106,RM,Sask.,512,465,10.1,845.65,0.6
Willow Bunch,T,Sask.,299,272,9.9,0.91,329.9
Willow Bunch No. 42,RM,Sask.,285,306,-6.9,"1,037.04",0.3
Wood Mountain,VL,Sask.,20,20,0,0.61,32.8
Wood Mountain 160,IRI,Sask.,16,20,-20,24.37,0.7
Wood River No. 74,RM,Sask.,466,433,7.6,824.84,0.6
Arlington No. 79,RM,Sask.,359,366,-1.9,841.62,0.4
Bone Creek No. 108,RM,Sask.,362,394,-8.1,834.81,0.4
Bracken,VL,Sask.,20,20,0,0.63,31.8
Cadillac,VL,Sask.,116,92,26.1,1.16,99.6
Carmichael No. 109 3,RM,Sask.,462,502,-8,839.45,0.6
Climax,VL,Sask.,137,195,-29.7,0.94,145.5
Consul,VL,Sask.,50,73,-31.5,0.7,71.6
Eastend,T,Sask.,607,503,20.7,2.61,232.5
Frontier,VL,Sask.,364,372,-2.2,1.05,346
Frontier No. 19,RM,Sask.,347,326,6.4,"1,631.39",0.2
Grassy Creek No. 78,RM,Sask.,341,364,-6.3,831.45,0.4
Lac Pelletier No. 107,RM,Sask.,563,546,3.1,841.37,0.7
Lone Tree No. 18,RM,Sask.,140,150,-6.7,821.4,0.2
Maple Creek,T,Sask.,"2,176","2,084",4.4,4.35,500
Maple Creek No. 111 3,RM,Sask.,"1,167","1,063",9.8,"3,180.10",0.4
Nekaneet Cree Nation 3,IRI,Sask.,169,187,-9.6,60.32,2.8
Piapot No. 110,RM,Sask.,280,302,-7.3,"1,942.87",0.1
Reno No. 51,RM,Sask.,343,379,-9.5,"3,424.73",0.1
Shaunavon,T,Sask.,"1,784","1,714",4.1,4.8,371.7
Val Marie,VL,Sask.,120,126,-4.8,0.43,276.3
Val Marie No. 17,RM,Sask.,425,413,2.9,"3,059.22",0.1
White Valley No. 49,RM,Sask.,352,478,-26.4,"2,001.56",0.2
Wise Creek No. 77,RM,Sask.,188,205,-8.3,822.49,0.2
Atwater,VL,Sask.,27,30,-10,1.84,14.7
Bangor,VL,Sask.,40,38,5.3,1.57,25.5
Bird's Point,RV,Sask.,150,112,33.9,0.59,254.1
Bredenbury,T,Sask.,386,372,3.8,4.61,83.7
Broadview,T,Sask.,541,552,-2,2.82,191.5
Cana No. 214,RM,Sask.,904,867,4.3,813.42,1.1
Chester No. 125,RM,Sask.,333,383,-13.1,817.66,0.4
Churchbridge,T,Sask.,866,896,-3.3,2.57,336.9
Churchbridge No. 211,RM,Sask.,584,619,-5.7,899.13,0.6
Cowessess 73,IRI,Sask.,645,540,19.4,116.48,5.5
Dubuc,VL,Sask.,71,61,16.4,0.61,117.1
Duff,VL,Sask.,25,30,-16.7,0.27,93.1
Elcapo No. 154,RM,Sask.,392,488,-19.7,824.3,0.5
Esterhazy,T,Sask.,"2,345","2,502",-6.3,5.56,421.6
Fenwood,VL,Sask.,42,30,40,1.74,24.1
Fertile Belt No. 183,RM,Sask.,727,781,-6.9,"1,001.93",0.7
Fleming,T,Sask.,70,84,-16.7,1.89,37
Gerald,VL,Sask.,129,136,-5.1,0.74,174
Glenavon,VL,Sask.,179,182,-1.6,1.29,139
Goodeve,VL,Sask.,40,40,0,2.38,16.8
Grayson,VL,Sask.,185,211,-12.3,1.79,103.2
Grayson No. 184,RM,Sask.,547,512,6.8,862.8,0.6
Grenfell,T,Sask.,"1,059","1,099",-3.6,3.14,337.2
Kahkewistahaw 72,IRI,Sask.,627,502,24.9,79.95,7.8
Kahkewistahaw No. 72-Q 3,IRI,Sask.,0,5,-100,0.74,0
Kahkewistahaw No. 72-W 3,IRI,Sask.,0,0,...,1.42,0
Killaly,VL,Sask.,58,65,-10.8,2.64,21.9
Kingsley No. 124 3,RM,Sask.,396,444,-10.8,828.77,0.5
Kipling,T,Sask.,"1,076","1,074",0.2,2.55,421.9
Langenburg,T,Sask.,"1,228","1,165",5.4,3.38,362.8
Langenburg No. 181,RM,Sask.,561,557,0.7,656.42,0.9
Lemberg,T,Sask.,266,313,-15,2.67,99.6
Little Bone 74B,IRI,Sask.,41,24,70.8,1.78,23.1
MacNutt,VL,Sask.,50,65,-23.1,0.92,54.3
Martin No. 122,RM,Sask.,254,289,-12.1,542.27,0.5
